,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
139,"FC = 0.98, SFT = 0.1",2019-03-18 16:00:00,2019-03-19 17:00:00,30846.343,26,1186.397808,0.98,0.1,storm_140,0.5,1,0,0,0,0
140,"FC = 0.98, SFT = 0.1",2019-03-22 17:00:00,2019-03-23 13:00:00,32466.45691,21,1546.021758,0.98,0.1,storm_141,0.379,0,0,0,0,0
141,"FC = 0.98, SFT = 0.1",2019-03-29 22:00:00,2019-03-31 11:00:00,76150.03105,38,2003.948185,0.98,0.1,storm_142,0.883,1,0,0,0,0
142,"FC = 0.98, SFT = 0.1",2019-04-21 18:00:00,2019-04-22 07:00:00,19139.7825,14,1367.127322,0.98,0.1,storm_143,0.248,0,0,0,0,0
143,"FC = 0.98, SFT = 0.1",2019-05-03 15:00:00,2019-05-04 20:00:00,47962.55613,30,1598.751871,0.98,0.1,storm_144,0.291,0,0,0,0,0
144,"FC = 0.98, SFT = 0.1",2019-06-04 12:00:00,2019-06-05 04:00:00,20143.73842,17,1184.92579,0.98,0.1,storm_145,0.273,0,0,0,0,0
145,"FC = 0.98, SFT = 0.1",2019-06-24 09:00:00,2019-06-24 20:00:00,7849.201053,12,654.1000877,0.98,0.1,storm_146,0.071,0,0,0,0,0
146,"FC = 0.98, SFT = 0.1",2019-06-25 07:00:00,2019-06-25 18:00:00,7272.306128,12,606.0255107,0.98,0.1,storm_147,0.178,0,0,0,0,0
147,"FC = 0.98, SFT = 0.1",2019-07-04 21:00:00,2019-07-05 22:00:00,17091.95622,26,657.3829316,0.98,0.1,storm_148,0.082,0,0,0,0,0
148,"FC = 0.98, SFT = 0.1",2019-08-11 16:00:00,2019-08-12 03:00:00,10442.57142,12,870.2142852,0.98,0.1,storm_149,0.195,0,0,0,0,0
149,"FC = 0.98, SFT = 0.1",2019-08-29 22:00:00,2019-08-30 16:00:00,22560.56277,19,1187.39804,0.98,0.1,storm_150,0.101,0,0,0,0,0
150,"FC = 0.98, SFT = 0.1",2019-09-17 08:00:00,2019-09-19 18:00:00,137034.7985,59,2322.623703,0.98,0.1,storm_151,0.976,1,0,0,0,0
151,"FC = 0.98, SFT = 0.1",2019-11-04 00:00:00,2019-11-04 12:00:00,13056.82916,13,1004.371474,0.98,0.1,storm_152,0.063,0,0,0,0,0
152,"FC = 0.98, SFT = 0.1",2020-01-19 15:00:00,2020-01-20 11:00:00,34255.50696,21,1631.214617,0.98,0.1,storm_153,0.369,0,0,0,0,0
